Pair_ID,Origin_ID,Destination_ID,Dist_along_grid_meters,Destination_Rank
3.80025E+23 6/13/18 8:21 - 3.40064E+23 4/19/19 11:00,3.80025E+23 6/13/18 8:21 ,3.40064E+23 4/19/19 11:00,10132.12451,61
3.80025E+23 6/13/18 8:21 - 34005b000a51353431383437 4/17/19 10:34,3.80025E+23 6/13/18 8:21 ,34005b000a51353431383437 4/17/19 10:34,10443.1914,62
3.80025E+23 6/13/18 8:21 - 57002c000151353432393339 4/16/19 19:46,3.80025E+23 6/13/18 8:21 ,57002c000151353432393339 4/16/19 19:46,10509.45838,63
3.80025E+23 6/13/18 8:21 - 3.30056E+23 4/26/19 14:46,3.80025E+23 6/13/18 8:21 ,3.30056E+23 4/26/19 14:46,10638.0211,64
3.80025E+23 6/13/18 8:21 - 2b002b001251363038393739 6/20/18 10:11,3.80025E+23 6/13/18 8:21 ,2b002b001251363038393739 6/20/18 10:11,10640.07919,65
3.80025E+23 6/13/18 8:21 - 48002b001151363038393739 6/20/18 9:54,3.80025E+23 6/13/18 8:21 ,48002b001151363038393739 6/20/18 9:54,10781.75414,66
3.80025E+23 6/13/18 8:21 - 31002d000d50483553343720 4/26/19 22:24,3.80025E+23 6/13/18 8:21 ,31002d000d50483553343720 4/26/19 22:24,10944.40171,67
1.70045E+23 6/13/18 9:59 - 1.70045E+23 6/13/18 9:59,1.70045E+23 6/13/18 9:59 ,1.70045E+23 6/13/18 9:59,0,1
1.70045E+23 6/13/18 9:59 - 2f0046000c47373334363431 4/18/19 23:38,1.70045E+23 6/13/18 9:59 ,2f0046000c47373334363431 4/18/19 23:38,1744.464283,2
1.70045E+23 6/13/18 9:59 - 4c0045000451353431383736 6/14/18 9:28,1.70045E+23 6/13/18 9:59 ,4c0045000451353431383736 6/14/18 9:28,1750.478133,3
1.70045E+23 6/13/18 9:59 - 33002b001151363038393739 6/14/18 10:51,1.70045E+23 6/13/18 9:59 ,33002b001151363038393739 6/14/18 10:51,1860.45506,4
1.70045E+23 6/13/18 9:59 - 2.80036E+23 6/14/18 9:43,1.70045E+23 6/13/18 9:59 ,2.80036E+23 6/14/18 9:43,2091.43713,5
1.70045E+23 6/13/18 9:59 - 43003a000347373334363431 5/10/19 6:53,1.70045E+23 6/13/18 9:59 ,43003a000347373334363431 5/10/19 6:53,2091.43713,6
1.70045E+23 6/13/18 9:59 - 3e002e001451343334363036 4/18/19 15:43,1.70045E+23 6/13/18 9:59 ,3e002e001451343334363036 4/18/19 15:43,2153.588624,7
1.70045E+23 6/13/18 9:59 - 2.0002E+23 4/17/19 18:42,1.70045E+23 6/13/18 9:59 ,2.0002E+23 4/17/19 18:42,2487.649584,8
1.70045E+23 6/13/18 9:59 - 30001a001451343334363036 6/14/18 12:05,1.70045E+23 6/13/18 9:59 ,30001a001451343334363036 6/14/18 12:05,2515.182168,9
1.70045E+23 6/13/18 9:59 - 1a003d000951343334363138 6/14/18 12:02,1.70045E+23 6/13/18 9:59 ,1a003d000951343334363138 6/14/18 12:02,2518.016949,10
